,Tags,rata_disability_2013.json_presence,rata_disability_2013.json_type,rata_disability_2014.json_presence,rata_disability_2014.json_type,rata_disability_2015.json_presence,rata_disability_2015.json_type,rata_disability_2016.json_presence,rata_disability_2016.json_type,rata_disability_2017.json_presence,rata_disability_2017.json_type,rata_disability_2018.json_presence,rata_disability_2018.json_type,rata_disability_2021.json_presence,rata_disability_2021.json_type,rata_disability_current_expanded_full.json_presence,rata_disability_current_expanded_full.json_type
3166,seokjin's blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3167,Deaf Stiles Stilinski_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3168,mute!kenma,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3169,bye bye logan talking,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3170,Semi-Verbal Logic | Logan Sanders,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3171,tw: blindness,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3172,Blind Stiles,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,False,,True,synned_tag
3173,Blind Karamatsu,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3174,Discapacidades,False,,False,,False,,False,,False,,False,,True,synned_tag,True,synned_tag
3175,mute inumaki,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3176,Deaf Grantaire,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3177,Deaf! Reader,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3178,Blind Hong Jisoo | Joshua,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
3179,outsider pov of disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3180,Blind Eren Yeager_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3181,Always mute Link,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3182,mute!seokjin,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3183,deaf!midoriya izuku,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3184,Seokjin is mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3185,blind girl,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3186,blind Chirrut,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3187,adjusting to a disability,False,,False,,False,,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag
3188,sort of blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3189,mute!Blaine,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3190,Blind Min Yoongi | Suga_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3191,Blind Eli Clark | Seer,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3192,Haz is in a wheelchair,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3193,blind rey,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3194,taehyung is blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3195,Race is blind but only during the day,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3196,Luke Patterson is Dyslexic,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3197,Temporarily Mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3198,Mute Edward Elric,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag
3199,Deaf Kara Danvers_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3200,Blind!Bill,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3201,Dyslexia Mention,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3202,deaf/hoh hinata,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3203,eddie lost his arm fighting pennywise,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3204,Deaf Hinata au,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3205,Blind James T. Kirk,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3206,slight disability worship,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3207,Deaf Jung Hoseok | J-Hope,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3208,Disability Big Bang 2014,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3209,Blind Karkat,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,False,,True,synned_tag
3210,dyslexic clint,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3211,partially mute dave,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3212,Deaf!Iwaizumi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3213,Blind!Ichigo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3214,The Disability is Unspecified,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3215,V's still blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3216,Mute Castiel (Supernatural),False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3217,cass is mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3218,oh and he's blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3219,Disabled Steve Rogers_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3220,blind!Izuku,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3221,Izuku has many disabilities,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3222,Dean has dyslexia,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3223,and Dyslexic,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3224,mute henry,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3225,Deaf Nanase Haruka_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3226,Deaf Lance (Voltron),False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3227,Disability Difficulties,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3228,Main Character with Physical Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3229,Barry is paralyzed,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3230,is blind Harry a thing,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3231,blind! louis,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3232,Mute Danny,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3233,Mute Gabriel,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,False,,False,,True,synned_tag
3234,Partial Deafness,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3235,queer female character with a disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3236,happy disability pride month!,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3237,Blind!Yoongi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3238,Deaf Mikey Way,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3239,kim taehyung is blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3240,iwaizumi is blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3241,Blind Zhongli,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3242,deaf!bakugou katsuki,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3243,Blind Dick Grayson_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3244,blind! Minghao,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3245,Deaf Clint Barton,True,canonical_tag,False,,False,,False,,False,,False,,False,,False,
3246,Blind Chirrut Îmwe,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
3247,mentions of disability/paraplegia/spinal injury,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3248,Half-Blind Ranboo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3249,Blind Roy Mustang_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3250,Mute Jeon Jungkook,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3251,Selectively Mute Castiel,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,False,,True,synned_tag
3252,blind!grantaire,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3253,Min Yoongi | Suga is born deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3254,Blind Floris | Fundy,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
3255,Blind!Jonathan Sims,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3256,newly blinded character,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3257,harry's blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3258,mute kusuru akira,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3259,blinded sight,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3260,deaf ethan green au,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3261,Mute Kim Taehyung | V,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3262,(the major character injury is him being blind),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3263,Disability-Unfriendly Society,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3264,deaf!Todo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3265,Jungkook is deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3266,selective mute! deceit,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3267,Mute!Mickey,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3268,Blind!Kakashi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3269,techno is nonverbal because im semiverbal and i can do what i want,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3270,Learning Disabilities (sorta?),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3271,один из персонажей инвалид,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3272,hank will be mute in most of these fics bc its hard to talk with a metal jaw,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3273,Viktor needs help with things because of his disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3274,Blind Matsuno Karamatsu_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3275,tubbo's going blind.,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3276,mute! Dean,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3277,possibly selective mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3278,some are blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3279,also some disability rep love ourselves some robotic limbs,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3280,Im not sure if disability is the right word when its about a cyborg though,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3281,Jin is mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3282,Mute Sherlock,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag
3283,Disabled Essek Thelyss_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3284,temporarily blind Eren,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3285,Hearingloss,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3286,Selectively Mute Logic | Logan Sanders_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3287,Disabled Remus Lupin,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3288,Mute!Hinata Shouyou,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3289,Deaf Wooley (Star Wars),False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
3290,mute!Dirk,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3291,Disability from Injury,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3292,Mute Ichigo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3293,Disabled Derek Hale,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3294,Blind Kirishima Eijirou_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3295,Deaf!John Watson,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3296,cego,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3297,disabled izuku,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3298,Mute Adrien Agreste | Chat Noir_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3299,Harry is disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3300,mute!Draco,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3301,blind nitori,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
