,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2014_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2015_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2016_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2017_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2018_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action
4665,Mute Junior (Red vs*d* Blue),False,,False,,False,,False,,False,,False,,False,,True,canonical_tag,addition,addition,addition,addition,addition,addition,addition
4666,physically disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4667,Disabled Park Jimin (BTS),False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
4668,They are also both deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4669,Barry is paralyzed,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4670,失明,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4671,Disability reversal,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4672,Discussion on Disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4673,Selective Mute Yoongi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4674,sarcasm about disabilities,False,,False,,False,,False,,False,,False,,True,synned_tag,True,synned_tag,addition,addition,addition,addition,addition,addition,
4675,Mute!Mikaela,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4676,Selectively Mute Sleep | Remy Sanders,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4677,you're also mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4678,Anacusis,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4679,Mute!Jaskier,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4680,Because of His Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4681,Mute Lee Felix (Stray Kids),False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
4682,eren is also blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4683,Disabled! Hinata,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4684,Disability - A is ashamed to ask for help for basic tasks; is made into a positive experience by B,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4685,Mute Warden (Dragon Age),False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,,,
4686,Blind Phil Lester_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4687,Deaf Grantaire (Les Misérables)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4688,Blind Do Kyungsoo | D.O,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,,,
4689,disabillity,False,,False,,False,,False,,False,,False,,True,synned_tag,True,synned_tag,addition,addition,addition,addition,addition,addition,
4690,mostly blind!jack,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4691,Yamada is deaf/deaf adjacent,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4692,selectivelymute!dan,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4693,Essek is disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4694,Selectively Mute Tommyinnit (Video Blogging RPF)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4695,partially mute bucky,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4696,Dyslexic Lambert (The Witcher)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4697,Blind A-Qing,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4698,Deaf Alex,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4699,Blind Dave,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,False,,False,,True,synned_tag,sinonized,sinonized,sinonized,sinonized,sinonized,addition,addition
4700,Akaashi's mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4701,Deaf Matt Murdock,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag,addition,addition,addition,addition,addition,addition,addition
4702,Bakugou Katsuki goes Deaf :),False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4703,disability metaphor what disability metaphor,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4704,deaf!namjoon,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4705,Background Disability Issues,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4706,Blind!Yoongi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4707,Deaf Levi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4708,Slight disability shaming by random douchebag OC,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4709,Selectively Mute Min Yoongi | Suga,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
